parameter,MP_Dynamic x_max,MP_Dynamic x_min,MP_Dynamic y_max,MP_Dynamic y_min,MP_Dynamic z_max,MP_Dynamic z_min,MP_Dynamic Rx_max,MP_Dynamic Rx_min,MP_Dynamic Ry_max,MP_Dynamic Ry_min,MP_Dynamic Rz_max,MP_Dynamic Rz_min,vessel_Dynamic x_max,vessel_Dynamic x_min,vessel_Dynamic y_max,vessel_Dynamic y_min,vessel_Dynamic z_max,vessel_Dynamic z_min,vessel_Dynamic Rx_max,vessel_Dynamic Rx_min,vessel_Dynamic Ry_max,vessel_Dynamic Ry_min,vessel_Dynamic Rz_max,vessel_Dynamic Rz_min
"H=1.500,T=2.00,Deg=0.0",0.016929123542978913,-0.12046105853172559,2.2781588430147287e-05,-1.9952859708511484e-05,0.05706882133073066,0.033522660740743504,1.962699065480074e-05,-1.909473893212726e-05,0.08627660171797907,-0.0842494429262123,1.0171955363782942e-05,-7.852635255648087e-06,0.015791168629959683,-0.036265371728921865,7.384872791779901e-06,-1.054005004127724e-05,0.002960501736899786,0.0014106729698090692,9.164620590405749e-06,-9.985653036752852e-06,-0.017505568899761535,-0.026484019315566352,1.1549276849885685e-05,-1.1176971242978359e-05
"H=1.500,T=2.50,Deg=0.0",-0.028656767890452354,-0.03768362252351161,7.723778423776123e-06,-1.1046960395992841e-05,0.0412467119640354,0.03286774948821858,8.018605166033459e-06,-8.024603343538334e-06,0.004329016751420694,-0.00428600581955399,4.494154114899984e-06,-9.048692800670618e-06,0.008495587863622272,0.0015881633054250512,6.175126519900634e-06,-2.086070462475367e-06,0.002762087958307214,0.0005587619088814126,1.0142694523618567e-05,-1.1189683745378085e-05,-0.015573695915647697,-0.01976105210729418,5.403813964527776e-06,-9.98679951730843e-06
"H=1.500,T=3.00,Deg=0.0",-0.009539834092101344,-0.024932412835939215,2.312370633353472e-05,-3.8631738229651796e-05,0.026692999269400275,0.010885416347150567,3.101159440060871e-05,-3.129328095006176e-05,0.008094019292829893,-0.007952368740057088,-2.999048781494659e-06,-1.2790085235281513e-05,0.007758562317993755,-0.002664400019966115,1.4620242815592046e-05,1.7575576591693949e-06,0.003176946170059919,-0.0014928453885696953,1.7195452634560113e-05,-1.7038742825662233e-05,-0.00468102827849048,-0.013383366308547506,8.915089432393837e-06,-2.4669085558249088e-05
"H=1.500,T=3.50,Deg=0.0",0.0018223415045900174,-0.028922063582461372,4.5781830189634446e-05,-2.8210421830999197e-05,0.02419077796926672,0.00568557905322109,3.9256848778570416e-05,-3.921328870315567e-05,0.016346593687589204,-0.016456283591947757,1.149617603809414e-05,1.8886281969653054e-06,0.011406177793268283,-0.007257758848199895,5.476987464278791e-06,-1.4354164042775166e-05,0.005122770824931797,-0.003808643078775661,1.9028560201698514e-05,-1.8523863107822347e-05,-0.0007152497054489696,-0.013514460580817879,2.9357223358553797e-05,-1.569415427107857e-05
"H=1.500,T=4.00,Deg=0.0",0.04310524635652649,-0.04888506413638218,0.00020430024479055892,-0.00020083045633304965,0.02739379435328715,-0.01744459452720548,0.00022080385296007783,-0.00022018312399706431,0.05118850586891961,-0.048926636059200786,1.0240674510765008e-05,-7.495191781165164e-06,0.01733451982120153,-0.014271887564759647,5.1923327756938946e-08,-3.74872101376924e-06,0.009600308942826905,-0.009173488999447688,1.7562940643770363e-05,-1.7231929453772317e-05,0.012557370331130465,-0.017388195041734517,2.0971387575593038e-05,-1.689909182947087e-05
"H=2.000,T=2.00,Deg=0.0",0.08994933605142202,-0.3166196241607507,4.332336822412899e-05,-2.5202965826895725e-05,0.1408411172967874,0.07132629448072692,3.3399614089250455e-05,-3.440050274266047e-05,0.28986434379349324,-0.2834415113733102,3.8597183718355995e-05,-1.7191471246133182e-05,0.06392190625256561,-0.09845097517192636,1.1433537331786224e-06,-2.482693195268028e-05,0.006979809112478152,0.0020165296846572514,1.4902905126018443e-05,-1.3799755623747103e-05,-0.03193199564519518,-0.0650221744308715,2.884739363870333e-05,-7.1603612349878436e-06
"H=2.000,T=2.50,Deg=0.0",-0.05507947333204702,-0.06858174795041401,1.3680670207854036e-05,-9.60157300419308e-06,0.07678970154896092,0.06009576188218091,1.079257337443162e-05,-1.0819837106824806e-05,0.007849692454025217,-0.007548684716552575,1.051838714319083e-05,-6.270922689857457e-06,0.013550662603807797,0.005985901508153633,1.5701360709625695e-06,-7.4735934997886784e-06,0.004736390028353421,0.001512650822860359,1.3638139119224725e-05,-1.4885160538945802e-05,-0.02875633120627006,-0.03635503004685289,1.156333120144498e-05,-7.3460367230932185e-06
"H=2.000,T=3.00,Deg=0.0",-0.019651313021725524,-0.04354513083329777,2.9919141047318854e-05,-5.222399339878621e-05,0.046033803713811494,0.025337754280201352,4.112935773767871e-05,-4.162516227851904e-05,0.012268522190792006,-0.012006420351506964,-4.20543298945312e-06,-1.7499925326947945e-05,0.01576884827742237,-0.004014989516663721,1.9590372878333035e-05,2.3287643640954356e-06,0.004744445425045906,-0.0015491668285903708,2.315619705561284e-05,-2.2487812667101836e-05,-0.011215938494216492,-0.023247716939418194,1.1730502220842937e-05,-3.347507971588885e-05
"H=2.000,T=3.50,Deg=0.0",0.007422942033018113,-0.033572613936868057,6.427946781905765e-05,-3.5103730271814725e-05,0.02862494917337699,0.002513786862834877,5.2415432749451554e-05,-5.237516748960322e-05,0.021869325232584114,-0.02189607903241887,1.781658379821668e-05,4.474790317636421e-06,0.014756328581541618,-0.009018326327319701,6.13914829186892e-06,-2.079940115422891e-05,0.006648026703571563,-0.005288362473689582,2.5461580224084737e-05,-2.4537881465462127e-05,0.001467052430033343,-0.0161398912500483,4.1752708118373674e-05,-1.899504147582012e-05
"H=2.000,T=4.00,Deg=0.0",0.052587343718422844,-0.07196190971729165,0.0002698164040883579,-0.000263232690963277,0.0446369113258811,-0.01642641597355521,0.0002906876380109425,-0.00028953787271606345,0.07038808756868586,-0.06519566308499664,1.4632893445895673e-05,-9.261084985545485e-06,0.02437559811129547,-0.01835313780387566,-1.0701170395282587e-06,-6.161033450867036e-06,0.013179634219627147,-0.011954538236885921,2.320391935600976e-05,-2.263578564403746e-05,0.01354588513332916,-0.02699292845319559,2.8951181157281106e-05,-2.121007038300309e-05
