time,堤防天端からの高さ（m）
2025-09-09 09:00:00,-1.56
2025-09-10 09:00:00,-1.57
2025-09-11 09:00:00,-1.55
2025-09-12 09:00:00,-1.57
2025-09-13 09:00:00,-1.2
2025-09-14 09:02:00,-1.39
2025-09-15 09:00:00,-1.48
2025-09-16 09:00:00,-1.53
2025-09-17 09:02:00,-1.55
